Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2018,Call of Duty: Black Ops IIII,XOne,12,4850704,4850704,Global,404225.333333333
2011,Assassin's Creed: Ezio Trilogy,PS3,7,2815959,2815959,Global,402279.857142857
2007,Assassin's Creed,X360,7,2806296,2806296,Global,400899.428571429
2012,FIFA Soccer 13,PS3,14,5579138,5579138,Global,398509.857142857
2009,Assassin's Creed II,PS3,7,2783449,2783449,Global,397635.571428571
2014,Call of Duty: Advanced Warfare,PS3,9,3543196,3543196,Global,393688.444444444
2013,Gran Turismo 6,PS3,5,1950454,1950454,Global,390090.8
2018,"Pokemon: Let's Go, Eevee!",NS,7,2728386,2728386,Global,389769.428571429
2010,Assassin's Creed: Brotherhood,PS3,7,2725871,2725871,Global,389410.142857143
2014,Call of Duty: Advanced Warfare,X360,9,3488439,3488439,Global,387604.333333333
2009,The Legend of Zelda: Spirit Tracks,DS,4,1538110,1538110,Global,384527.5
2016,Battlefield 1,XOne,11,4219657,4219657,Global,383605.181818182
2011,Uncharted 3: Drake's Deception,PS3,9,3445282,3445282,Global,382809.111111111
2018,Super Mario Party,NS,13,4972711,4972711,Global,382516.230769231
2013,FIFA Soccer 14,PS3,15,5596035,5596035,Global,373069
2018,Battlefield V,PS4,6,2224270,2224270,Global,370711.666666667
2011,The Elder Scrolls V: Skyrim,PS3,8,2936545,2936545,Global,367068.125
2016,Super Mario Maker,3DS,5,1832826,1832826,Global,366565.2
2014,Far Cry 4,PS4,7,2513027,2513027,Global,359003.857142857
2008,Animal Crossing: City Folk,Wii,7,2475078,2475078,Global,353582.571428571
2016,Watch Dogs 2,PS4,7,2450658,2450658,Global,350094
2014,Assassin's Creed: Unity,PS4,8,2782583,2782583,Global,347822.875
2011,FIFA Soccer 12,PS3,14,4863389,4863389,Global,347384.928571429
2015,Halo 5: Guardians,XOne,10,3456285,3456285,Global,345628.5
2014,FIFA 15,PS4,15,5182426,5182426,Global,345495.066666667
2008,Mario Kart Wii,Wii,39,13240596,13240596,Global,339502.461538462
2011,Gears of War 3,X360,15,5072552,5072552,Global,338170.133333333
2009,Left 4 Dead 2,X360,7,2311611,2311611,Global,330230.142857143
2014,Super Smash Bros. for Nintendo 3DS,3DS,17,5546831,5546831,Global,326284.176470588
2008,Call of Duty: World at War,PS3,8,2572405,2572405,Global,321550.625
2010,Pokemon Black / White Version,DS,16,5050908,5050908,Global,315681.75
2014,Grand Theft Auto V,XOne,7,2199236,2199236,Global,314176.571428571
2007,Mario & Sonic at the Olympic Games,Wii,8,2509752,2509752,Global,313719
2017,Assassin's Creed Origins,PS4,10,3132273,3132273,Global,313227.3
2017,PlayerUnknown's Battlegrounds,XOne,3,932099,932099,Global,310699.666666667
2018,Spyro Reignited Trilogy,PS4,7,2172947,2172947,Global,310421
2011,Mario andamp;amp; Sonic at the London 2012 Olympic Games,Wii,7,2170600,2170600,Global,310085.714285714
2012,Far Cry 3,X360,5,1505554,1505554,Global,301110.8
2008,Rock Band,X360,5,1503515,1503515,Global,300703
2009,Halo 3: ODST,X360,15,4477917,4477917,Global,298527.8
2014,Assassin's Creed: Unity,XOne,8,2386751,2386751,Global,298343.875
2013,Puzzle & Dragons Z,3DS,4,1158389,1158389,Global,289597.25
2008,Rock Band,Wii,5,1443616,1443616,Global,288723.2
2010,Michael Jackson: The Experience,Wii,6,1724960,1724960,Global,287493.333333333
2012,FIFA Soccer 13,X360,14,4021664,4021664,Global,287261.714285714
2007,Mario Party DS,DS,8,2281449,2281449,Global,285181.125
2015,Just Cause 3,PS4,5,1385302,1385302,Global,277060.4
2015,Uncharted: The Nathan Drake Collection,PS4,13,3568174,3568174,Global,274474.923076923
2010,FIFA Soccer 11,PS3,14,3812019,3812019,Global,272287.071428571
2013,Assassin's Creed IV: Black Flag,PS3,10,2695934,2695934,Global,269593.4
2010,Disney Epic Mickey,Wii,6,1603622,1603622,Global,267270.333333333
2010,Fable III,X360,10,2666066,2666066,Global,266606.6
2017,Gran Turismo Sport,PS4,11,2876596,2876596,Global,261508.727272727
2014,Destiny,PS4,17,4422631,4422631,Global,260154.764705882
2012,Animal Crossing: New Leaf,3DS,8,2066259,2066259,Global,258282.375
2018,Battlefield V,XOne,6,1547325,1547325,Global,257887.5
2014,FIFA 15,PS3,15,3842959,3842959,Global,256197.266666667
2007,Assassin's Creed,PS3,7,1776739,1776739,Global,253819.857142857
2011,Saints Row: The Third,X360,7,1764402,1764402,Global,252057.428571429
2012,Far Cry 3,PS3,5,1259920,1259920,Global,251984
2013,Battlefield 4,X360,10,2512808,2512808,Global,251280.8
2011,Batman: Arkham City,PS3,11,2753194,2753194,Global,250290.363636364
2013,The Legend of Zelda: A Link Between Worlds,3DS,7,1740862,1740862,Global,248694.571428571
2010,Kinect Sports,X360,9,2237176,2237176,Global,248575.111111111
2015,Assassin's Creed Syndicate,PS4,11,2724969,2724969,Global,247724.454545455
2011,Monster Hunter 3G,3DS,4,986674,986674,Global,246668.5
2018,Assassin's Creed Odyssey,PS4,13,3176082,3176082,Global,244314
